Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
"Who designed the Guggenheim Museum in Bilbao, Spain? ",Frank Gehry,Architects and Architecture,Architects and Architecture,,guggbilbao.jpg,,
Who designed the Piazza del Campidoglio (Capitoline Square) at the top of the Capitoline Hill in Rome?,Michelangelo,Bonus,Architects and Architecture,,campidoglio.jpg,,
Which scenic Los Angeles museum is pictured here?,The Getty Museum,Museums of the World,Museums of the World,getty.jpg,,,
Which London-based wax sculpture museum was founded in 1835?,Madame Tussauds,Museums of the World,Museums of the World,,tussauds.jpg,,
"With a collection of one million objects -.-.- of which 8,000 are on display -.-.- which museum holds the title of the largest museum in the Netherlands?",The Rijksmuseum (spelling is not important),Museums of the World,Museums of the World,,rijksmuseum.jpg,,
"In which museum is this famous painting by Francisco Goya, titled \emph{The Third of May 1808}, located?",The Prado Museum / Museo del Prado,Museums of the World,Museums of the World,goya.jpg,,,
"In which world capital is the State Historical Museum, pictured here, located?",Moscow,Museums of the World,Museums of the World,muzyey.jpg,,,
Which museum houses the famous sculpture picture here?,The Louvre,Museums of the World,Museums of the World,venusdemilo.jpg,,,
The stated aim of the Massachusetts-based MOBA museum is to “celebrate the labor of artists whose work would be displayed and appreciated in no other forum”. What does MOBA stand for?,Museum of Bad Art,Museums of the World,Museums of the World,,moba.jpeg,1,
"Notoriously reluctant to return plundered artifacts to their countries of origin, which museum has stated, “the restitutionist premise, that whatever was made in a country must return to an original geographical site, would empty both [our museum] and the other great museums of the world”?",The British Museum,Museums of the World,Museums of the World,,britishmuseum.jpeg,,
"Opened in 1844, the oldest continuously-operating public art museum in the U.S. is the Wadsworth Atheneum. In which city is it located?","Hartford, Connecticut",Museums of the World,Museums of the World,,wadsworth.jpg,,
Which museum that is part of the Smithsonian is pictured here?,The National Museum of African American History and Culture / NMAAHC,Museums of the World,Museums of the World,nmaahc.jpg,,,
"The Louvre has around 10.2 million visitors each year, making it the world’s most visited museum. Which museum has the second-largest number of annual visitors?","The National Museum of China (we will also accept synonyms such as “The Chinese National Museum”, “China’s national museum”, etc.)",Bonus,Museums of the World,,chinamuseum.jpg,,
The name of which Parisian boulevard translates as “the Elysian Fields” in English?,Les Champs-{\’E}lys{\’e}es,Paris,Paris,,champs.jpg,,
In what building in Paris are France’s notables laid to rest?,The Panthéon,Paris,Paris,,,,
Who is currently the mayor of Paris?,Anne Hildago,Paris,Paris,,hidalgo.jpeg,,
What is the name of the river that runs through Paris?,The Seine,Paris,Paris,,seinne.jpg,,
"Legend says that St. Denis, one of the three patron saints of Paris, was martyred at the top of which Paris hill?",Montmartre ,Paris,Paris,,montmatre.jpg,,
"In addition to being the “lungs” of Paris, what two parks resemble “ears” on the face of Paris ?",The Bois de Boulogne and the Bois de Vincennes,Paris,Paris,,parisears.jpeg,,
Which famous American rock musician is buried in Paris’ P{\`e}re Lachaise Cemetery?,Jim Morrison ,Paris,Paris,,morrison.jpg,,
Paris’s tall buildings are gathered in what part of the city?,La D{\’e}fense,Paris,Paris,,defense.jpg,,
Who designed the Eiffel Tower (first and last name)?,Alexandre-Gustave Eiffel (Gustave Eiffel),Paris,Paris,,gustave.jpg,,
At what Paris airport did Charles Lindbergh land at the end of his historic trans-Atlantic flight?,Le Bourget Airport,Paris,Paris,,lindbergh.jpg,,
What university in Paris was established by the  Renaissance King  Fran\c{c}ois I as a humanist alternative to the Sorbonne?,The Coll{\`e}ge de France (founded 1530),Bonus,Paris,,collegefrance.jpg,,
In which U.S. state did Joseph Smith found Mormonism?,New York State,Religions and Religion,Religions and Religion,,josephsmithdumdumdumdumdum.jpg,,
"What language are the Vedas, the oldest scriptures of Hinduism, written in?",Sanskrit,Religions and Religion,Religions and Religion,,vedas.jpg,,
"The Ancient Greek gods all had Roman counterparts. What was the name of the Roman god who was the counterpart of the Greek god Eros, the god of love?",Cupid,Religions and Religion,Religions and Religion,,cupid.jpg,,
"Which religion founded in Iran ca. 2000 BCE is one of the world’s oldest religions, but today only has around 100,000 adherents?",Zoroastrianism / Mazdayasna,Religions and Religion,Religions and Religion,,zoro.jpg,,
Sun Yat Sen and Victor Hugo are two of the Venerable Saints of which religion that originated in Vietnam in the 20th Century?,Cao Dai / Caodaism / The Third Great Universal Religious Amnesty,Religions and Religion,Religions and Religion,,caodai.jpg,,
"What is the name of the quasi-Christian religion whose adherents believe that God is a single entity, as opposed to the traditional Christian belief in the holy trinity?",Unitarianism,Religions and Religion,Religions and Religion,,unitarian.png,,
"In Rastafarianism, what does “Babylon” refer to?",Western society / European colonialism ,Religions and Religion,Religions and Religion,,,,
What is the single highest religious duty prescribed by Jainism?,Nonviolence / ahimsa,Religions and Religion,Religions and Religion,,jain.jpg,,
"At 233 feet tall, the Leshan Giant Buddha is the largest Buddha statue in the world. In which country is it located?",China,Religions and Religion,Religions and Religion,leshan.jpg,,,
What does the word “Islam” literally mean in Arabic?,Submission / submission to God / submission to the will of God / or replace “submission” with “surrender” in the previous three answers,Religions and Religion,Religions and Religion,,,,
What was the name given to Western and Central New York during the 19th century Second Great Awakening when several new religions were founded there?,The Burned-Over District,Bonus,Religions and Religion,,burnedover.jpg,,
"Which African American is widely regarded as the first person killed in the Boston Massacre, making him the first person to die for the American Revolution?",Crispus Attucks,Black History,Black History,,crispusattucks.jpg,,
"Who is the girl depicted in this Normal Rockwell painting, \emph{The Problem We All Live With}, who had to be escorted to school by U.S. marshals?",Ruby Bridges,Black History,Black History,rubybridges.jpg,,,
"To within five years, in what year was the NAACP founded?",1909 (1904-.-1914 will be accepted),Black History,Black History,,naacp.jpg,,
"Which famous Black orator and abolitionist -.-.- himself an escaped slave -.-.- wrote an autobiography titled \emph{Narrative of the Life of [his name], an American Slave}?",Frederick Douglass,Black History,Black History,,douglass.jpg,,
Which African-American basketball player broke the color barrier in the NBA?,Earl Lloyd,Black History,Black History,,lloyd.jpg,,
"In 1957, President Eisenhower issued Executive Order 10730, which federalized which state’s national guard in order to ensure the safe integration of a high school?",Arkansas (in order to ensure that the Little Rock Nine could safely enter the high school in which they were enrolled),Black History,Black History,,lr9.jpg,,
"In 1921, using arms and aircraft provided by city officials, Whites attacked the people and destroyed the businesses of one of the wealthiest Black neighborhoods in the country, called “Black Wall Street”. In which city did this disgraceful event take place?","Tulsa, OK",Black History,Black History,,tulsa.jpg,,
"Sworn into the Senate in 1870, who was the first African American to become a U.S. senator?",Hiram Revels,Black History,Black History,,hiram.jpg,,
Which U.S. president first recognized Black History Month?,Gerald Ford (in 1976),Black History,Black History,,ford.jpg,,
What was the name of the 20th century African-American physician who did important research work in the area of blood transfusion and who was also among the first to promote the use of bloodmobiles?,Dr. Charles Richard Drew,Black History,Black History,,drew.jpeg,,
Who represented the Browns in the Supreme Court case \emph{Brown v.\ Board of Education}?,Thurgood Marshall,Bonus,Black History,,thurgood.jpg,,
Which character sang the words “\Acht{} Just keep swimming \AAcht{} Just keep swimming \Acht{}”?,Dory (in \emph{Finding nemo} (2003)),Famous Movie Lines,Famous Movie Lines,,dory.jpg,,
"In which Marx Brothers film does Groucho say, “One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know”?",\emph{Animal Crackers} (1930),Famous Movie Lines,Famous Movie Lines,,marx.jpeg,,
"Which movie is this quote from:\par\begin{quote}And [the Dalai Lama] says, “Oh, uh, there won’t be any money, but when you die, on your deathbed, you will receive total consciousness.” So I got that goin’ for me, which is nice.\end{quote}",\emph{Caddyshack} (1980),Famous Movie Lines,Famous Movie Lines,,caddyshack.jpeg,,
"In which film does Clint Eastwood say the famous line, “Go ahead, make my day.”?",\emph{Sudden Impact} (1983),Famous Movie Lines,Famous Movie Lines,,makemyday.jpg,,
What is actress Gloria Swanson about to utter at the moment of \emph{Sunset Boulevard} (1950) pictured here? (We’re looking for a single sentence containing the phrases “all right” and “close-up”. Punctuation won’t matter.),"“All right, Mr. DeMille, I'm ready for my close-up.”",Famous Movie Lines,Famous Movie Lines,demille.jpg,,,
"Finish this quote from \emph{Dr. Strangelove} (1964): “Gentlemen, you can't fight in here! This is the _ _!” (two words).",War Room,Famous Movie Lines,Famous Movie Lines,,strangelove.jpg,,
"What sentence precedes Leslie Nielsen’s famous line in \emph{Airplane} (1980), “I am serious. And don’t call me Shirley.”?",“Surely you can’t be serious \textinterrobang{}”,Famous Movie Lines,Famous Movie Lines,,nielsen.jpg,,
Which movie is this line from: “Just one word \ldots{} Are you listening? \ldots{} Plastics.”?,\emph{The Graduate} (1967),Famous Movie Lines,Famous Movie Lines,,plastics.jpg,,
Name the movie: “Toga! Toga! Toga!”,\emph{Animal House} (1978),Famous Movie Lines,Famous Movie Lines,,toga.jpeg,,
"There is one James Bond film in which Bond actually drinks his martini “stirred, not shaken”. Which Bond film is it?",\emph{You Only Live Twice} (1967),Famous Movie Lines,Famous Movie Lines,,bond.jpg,,
"Which actress and comedian uttered the famous line in \emph{When Harry Met Sally}, “I’ll have what she’s having”?",Estelle Reiner / Rob Reiner’s mother,Bonus,Famous Movie Lines,,whatsheshaving.jpeg,,
