Question,Answer,Answer is movie,Replace
Marlon Brando “could have been a contender” in what iconic 1954 crime drama?,On the Waterfront,1,
What famous L.A. landmark is heavily featured in \emph{Rebel Without a Cause}?,Griffith Observatory,0,
Who played Martin Luther King Jr. in the 2014 biopic \emph{Selma}?,David Oyelowo,0,
Who directed the classics \emph{Frankenstein} and \emph{Bride of Frankenstein}?,James Whale,0,
What infamous 1980 box-office bomb ruined the career of \emph{The Deer Hunter} director Michael Cimino?,Heaven’s Gate,1,
What words are written on the knuckles of “Reverend” Harry Powell (Robert Mitchum) in \emph{The Night of the Hunter}?,“Love” and “hate.”,0,
What Hollywood movie star plays himself in \emph{Zombieland}?,Bill Murray,0,
"In \emph{Risky Business}, what song did Tom Cruise famously lip-sync to in his underwear?",“Old Time Rock and Roll”,0,
Who is the only actor to receive an Oscar nomination for acting in a \emph{Lord of the Rings} movie?,Ian McKellen,0,
"Who took over the role of Bruce Wayne’s love interest Rachel Dawes in \emph{The Dark Knight}, following Katie Holmes’s exit after \emph{Batman Begins}?",Maggie Gyllenhaal,0,
What song plays over the opening credits of \emph{Guardians of the Galaxy}?,“Come and Get Your Love”,0,
For which 1964 musical blockbuster did Julie Andrews win the Academy Award for Best Actress?,Mary Poppins,1,
What is the highest-grossing R-rated movie of all time?,Joker,1,
What 1994 crime film revitalized John Travolta’s career?,Pulp Fiction,1,
Who voiced the sultry Jessica Rabbit in \emph{Who’s Afraid of Roger Rabbit}?,Kathleen Turner,0,
"Which movie was incorrectly announced as the winner of Best Picture at the 2017 Academy Awards, during the greatest Oscars flub of all time?",La La Land,1,
Which 1948 Alfred Hitchcock movie starred James Stewart and was shot to look like one continuous take?,Rope,1,
"“Well, nobody’s perfect” is the final line from what classic 1959 comedy?",Some Like it Hot,1,
The stage play \emph{Everybody Comes to Rick’s} was adapted for the screen to become what 1942 Best Picture winner?,Casablanca,1,
In what 1979 James Bond movie does the famous spy go to outer space?,Moonraker,1,1
"Who wrote the famous, scary theme music from Halloween?",John Carpenter,0,
What animated classic was the first film of the late-twentieth-century “Disney Renaissance?”,The Little Mermaid,1,
"In \emph{Apocalypse Now}, what character played by Robert Duvall says, “I love the smell of napalm in the morning”?",Col. Bill Kilgore,0,
What is the name of Quint’s shark-hunting boat in \emph{Jaws}?,The Orca,0,
"What’s the name of Charlie Chaplin’s most famous, recurring character?",“The Tramp”,0,
Aaron Sorkin won an Oscar for writing what 2010 drama?,The Social Network,1,
Who played iconic femme fatale Phyllis Dietrichson in classic 1946 film noir \emph{Double Indemnity}?,Barbara Stanwyck,0,
"What kind of of revolver was made famous by Clint Eastwood’s “Dirty” Harry Callahan? (Manufacturer, model, or caliber — name one.)","Smith & Wesson, Model 29, .44 Magnum",0,
Which 1927 war drama was the first movie to ever win Best Picture?,Wings,1,
Who was the first actor to play Jack Ryan on screen?,Alec Baldwin,0,
What was Audrey Hepburn’s birth name?,Audrey Kathleen Ruston,0,
Joaquin Phoenix received his first Oscar nomination for playing Roman emperor Commodus in what 2000 Oscar-winning epic?,Gladiator,1,
Who played the “Unsinkable” Molly Brown in \emph{Titanic}?,Kathy Bates,0,
"In the action thriller \emph{Speed}, why is Annie (Sandra Bullock)’s driver’s license suspended?",She was speeding,0,
Jennifer Lawrence won a Best Actress Academy Award for what 2012 romantic comedy/drama?,Silver Linings Playbook,1,
The Battle of Thermopylae served as the basis of what highly stylized 2006 smash hit swords-and-sandals action flick?,300,1,
Which famous film composer wrote the music for Tim Burton’s 1989 \emph{Batman}?,Danny Elfman,0,
Which Alfred Hitchcock thriller is notorious for its shocking “shower scene”?,Psycho,1,
What is the highest-grossing foreign-language film at the U.S. box office?,The Passion of the Christ,1,
Who wrote the screenplay for \emph{Rocky}?,Sylvester Stallone,0,
What national monument does Cary Grant climb in the heart-pounding final moments of North by Northwest?,Mount Rushmore,0,
What was Quentin Tarantino‘s first feature as writer/director?,Reservoir Dogs,1,
Which Oscar-winning blonde bombshell played James Stewart’s love interest Lisa Carol Fremont in \emph{Rear Window}?,Grace Kelly,0,
Who is the only person ever to receive an Oscar nomination for acting in a \emph{Star Wars} movie?,Alec Guinness,0,
What actress’ name did John Travolta botch at the 2014 Oscars?,Idina Menzel,0,
What is the real name of Uma Thurman’s “The Bride” character from \emph{Kill Bill}?,Beatrix Kiddo,0,
What prominent American director won an Oscar for helming \emph{Forrest Gump}?,Robert Zemeckis,0,
"Three of Jim Carrey’s blockbusters—\emph{The Mask}, \emph{Dumb and Dumber}, and \emph{Ace Ventura: Pet Detective}—were all released in what year?",1994,0,
How many suns does Luke’s home planet of Tatooine have in \emph{Star Wars}?,Two,0,
What movie holds the record for most Oscar wins without winning Best Picture (eight wins total)?,Cabaret,1,
In what 1969 James Bond thriller does the famous spy fall in love and get married?,On Her Majesty’s Secret Service,1,
What 1970 movie marked the feature debut of Arnold Schwarzenegger?,Hercules in New York,1,
What is the first movie ever to be rated PG-13?,Red Dawn (1984),0,
What is the highest-grossing movie of all time when taking inflation into account?,Gone With the Wind,1,
What is the highest-grossing movie of all time when not taking inflation into account?,Avengers: Endgame,1,
What’s the Los Angeles hotel prominently featured in \emph{Pretty Woman}?,The Beverly Wilshire by Four Seasons,0,
What is the only ‘X’-rated film to win Best Picture at the Oscars?,Midnight Cowboy,1,
Who played detective Rick Deckard in the original \emph{Blade Runner}?,Harrison Ford,0,
What is the name of the spaceship in \emph{Alien}?,USCSS Nostromo,0,
"This acclaimed, Oscar-winning filmmaker directed \emph{Happy Feet}, \emph{Babe: Pig in the City} and \emph{Mad Max: Fury Road}.",George Miller,0,
Who is the first and only woman of color to win the Oscar for Best Actress?,Halle Berry,0,
What’s the fictional brand of cigarettes in Quentin Tarantino’s movies?,Red Apple cigarettes,0,
Who played the Wicked Witch of the West in \emph{The Wizard of Oz}?,Margaret Hamilton,0,
Which movie star is killed off in the opening scene of \emph{Scream}?,Drew Barrymore,0,
What’s the name of John Wayne’s character in \emph{True Grit} (played by Jeff Bridges in the remake)?,Rooster Cogburn,0,
What is the highest-grossing war movie of all time and Clint Eastwood’s highest-grossing movie ever?,American Sniper,1,
How many Oscars has Meryl Streep won?,Three,0,
How many Oscars has Meryl Streep been nominated for?,21,0,
Who played Bonnie Parker and Clyde Barrow in \emph{Bonnie & Clyde}?,Faye Dunaway and Warren Beatty,0,
What Martin Scorsese movie holds the all-time record for F-bombs?,The Wolf of Wall Street,1,
What is the name of the extended ballet sequence near the end of \emph{Singin’ in the Rain}?,“Broadway Melody”,0,
What is the name of Riley’s imaginary friend in \emph{Inside Out}?,Bing Bong,0,
Who played the Green Goblin in 2002 box-office smash \emph{Spider-Man}?,Willem Dafoe,0,
For what movie did George Clooney win his sole acting Oscar to date?,Syriana,1,
"Near the end of \emph{Vertigo}, when Judy transforms into Madeline, she is bathed in what color light?",Green,0,
Who played Regan MacNeil in \emph{The Exorcist}?,Linda Blair,0,
"In \emph{Inception}, items that were uses to determine whether you were in someone else’s dream, such as a top, were referred to as what?",Totems,0,
Which actor played a supporting role in both emph{When Harry Met Sally} and \emph{The Godfather Part 2}?,Bruno Kirby,0,
Which actor who famously played a superhero on TV had a supporting role in \emph{Gone with the Wind}?,George Reeves,0,
What song is playing on the radio every morning when Bill Murray wakes up in \emph{Groundhog Day}?,“I Got You Babe”,0,
What creepy \emph{Blue Velvet} actor was also \emph{The Boy with Green Hair}?,Dean Stockwell,0,
In which movie does Harry Dean Stanton recite the code of the titular profession?,Repo Man,1,
Which actor’s death led to Mike Meyer’s voicing \emph{Shrek}?,Chris Farley,0,
Which 1982 film was disqualified from Academy Award contention for best special effects because its computer generated special effects were considered “cheating”?,Tron,1,
What year was the first (original) \emph{Star Wars} movie released?,1977,0,
What film has the best selling soundtrack of all time?,The BodyGuard,1,
"Only three movies in history have won the “big five” at the Oscars — Best Picture, Best Director, Best Screenplay, Best Actor, and Best Actress. Name all three.","\emph{It Happened One Night}, \emph{One Flew Over the Cuckoo’s Nest}, and \emph{The Silence of the Lambs}.",0,
